Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk,Latitude,Longitude
NANMA PROPERTIES LTD,Residential (Apartment),2022-04-20,2025-04-20,K-RERA/PRJ/ERN/070/2022,2022-04-25,90,77,86,Inprogress,Ernakulam,NADAMA,Kanayannur,9.96,76.36
PRESTIGE ESTATES PROJECTS LIMITED,Mixed (Commercial & Residential),2015-11-07,2022-12-31,K-RERA/PRJ/315/2020,2021-08-10,63,75,21,Completed,Ernakulam,KAKKANAD,Kanayannur,10.017,76.344
CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,Mixed (Commercial & Residential),2019-10-23,2025-12-31,K-RERA/PRJ/273/2020,2021-09-07,57,94,94,Inprogress,Kozhikode,PANTHEERANKAVU,Kozhikode,11.327,75.891
PRESTIGE ESTATES PROJECTS LIMITED,Residential (Apartment),2022-11-01,2028-05-26,K-RERA/PRJ/KKD/139/2022,2022-08-24,53,4,12,Inprogress,Kozhikode,PUTHIYANGADI,Kozhikode,11.28,75.77
HiLITE Builders Pvt Ltd,Residential (Apartment),2022-06-18,2026-12-31,K-RERA/PRJ/KKD/110/2022,2022-07-02,52,64,86,Inprogress,Kozhikode,OLAVANNA,Kozhikode,11.23,75.83
Purva Realities Private Limited,Residential (Apartment),2022-02-20,2026-06-30,K-RERA/PRJ/ERN/020/2022,2022-02-15,51,54,99,Inprogress,Ernakulam,VAZHAKKALA,Kanayannur,10.021,76.335
DLF SOUTHERN TOWNS PRIVATE LIMITED,Residential (Apartment),2009-09-01,2017-03-15,K-RERA/PRJ/ERN/029/2023,2023-02-09,43,44,31,Completed,Ernakulam,KAKKANAD,Kanayannur,10.017,76.344
HiLITE Builders Pvt Ltd,Residential (Apartment),2025-01-15,2029-06-30,K-RERA/PRJ/KKD/019/2025,2025-02-03,41,23,59,Inprogress,Kozhikode,OLAVANNA,Kozhikode,11.23,75.83
ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2017-08-16,2024-12-01,K-RERA/PRJ/004/2020,2021-08-05,40,84,00,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM,8.55,76.88
CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,Mixed (Commercial & Residential),2018-08-15,2028-06-30,K-RERA/PRJ/231/2020,2023-07-25,38,61,18,Inprogress,Kozhikode,KODANCHERY,THAMARASSERY,11.45,75.98
CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,Mixed (Commercial & Residential),2018-08-15,2028-06-30,K-RERA/PRJ/231/2020,2021-08-05,38,43,14,Inprogress,Kozhikode,KODANCHERY,THAMARASSERY,11.45,75.98
ASTEN REALTORS PRIVATE LIMITED,Residential (Apartment),2012-02-01,2023-03-10,K-RERA/PRJ/321/2020,2021-04-21,36,80,0,Inprogress,Ernakulam,KAKKANAD,Kanayannur,10.017,76.344
Sobha Limited,Residential (Apartment),2016-03-15,2031-12-31,K-RERA/PRJ/ERN/064/2025,2025-06-10,36,28,0,Inprogress,Ernakulam,ERNAKULAM,Kanayannur,9.98,76.29
HiLITE MALL THRISSUR LLP,Shops/Office Space (Commercial),2017-09-22,2024-06-30,K-RERA/PRJ/194/2021,2021-12-23,33,59,Completed,Thrissur,OLLUR,Thrissur,,10.52,76.21
Alka Ventures,Residential (Apartment),2015-07-30,2024-12-30,K-RERA/PRJ/184/2021,2021-09-24,32,40,Inprogress,Ernakulam,KAKKANAD,Kanayannur,,10.017,76.344
NBCC INDIA LIMITED,Mixed (Commercial & Residential),2015-04-28,2024-12-31,K-RERA/PRJ/ERN/138/2022,2022-08-29,31,91,1,Inprogress,Ernakulam,PUTHENCRUZ,Kunnathunad,9.95,76.45
ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2023-08-21,2028-08-21,K-RERA/PRJ/TVM/123/2023,2023-07-21,30,51,23,Inprogress,Thiruvananthapuram,ULOOR,THIRUVANANTHAPRUAM,8.53,76.91
Jain Housing And Constructions Limited,Residential (Apartment),2010-10-31,2024-05-31,K-RERA/PRJ/ERN/011/2022,2022-01-27,30,49,2,Completed,Ernakulam,KAKKANAD,Kanayannur,10.017,76.344
ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2023-05-04,2027-10-30,K-RERA/PRJ/TVM/057/2023,2023-03-29,29,59,2,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM,8.55,76.88
Sobha Limited,Residential (Apartment),2016-03-15,2025-06-30,K-RERA/PRJ/251/2020,2021-09-01,29,32,93,Completed,Ernakulam,ERNAKULAM,Kanayannur,9.98,76.29
TEKTON REALTY AND INFRASTRUCTURE PRIVATE LIMITED,Residential (Apartment),2025-06-01,2030-08-14,K-RERA/PRJ/KKD/082/2025,2025-07-04,27,27,9,Inprogress,Kozhikode,PANTHEERANKAVU,Kozhikode,11.327,75.891
M/S SOBHA HIGHRISE VENTURES PRIVATE LIMITED,Mixed (Commercial & Residential),2021-06-01,2026-12-31,K-RERA/PRJ/TSR/002/2021,2021-03-23,25,22,52,Inprogress,Thrissur,OLLUR,Thrissur,10.48,76.24
HiLITE BUSINESS PARK PVT LTD,Shops/Office Space (Commercial),2015-04-10,2022-12-30,K-RERA/PRJ/013/2022,2022-07-18,24,0,Completed,Kozhikode,OLAVANNA,Kozhikode,,11.25,75.78
Kerala Land Reforms And Development Co operative Society Ltd No 4482,Residential (Apartment),2019-07-01,2023-09-30,K-RERA/PRJ/187/2020,2021-06-18,22,21,54,Completed,Thiruvananthapuram,PANGAPARA,THIRUVANANTHAPRUAM,8.57,76.89
INDROYAL PROPERTIES PRIVATE LIMITED,Residential (Apartment),2015-04-01,2023-12-31,K-RERA/PRJ/052/2021,2021-12-14,22,29,1,Completed,Thiruvananthapuram,VANCHIYOOR,THIRUVANANTHAPRUAM,8.49,76.94
CCJ ONE SUITE LLP,Residential (Apartment),2026-02-01,2029-12-31,K-RERA/PRJ/KKD/026/2026,2026-02-12,21,40,Inprogress,Kozhikode,KAKKODI,Kozhikode,,11.25,75.78
MPG Hotels & Infrastructure Ventures Private Limited,Mixed (Commercial & Residential),2018-04-14,2024-06-30,K-RERA/PRJ/90/2020,2021-04-17,21,11,10,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM,8.5,76.93
MIR BUILDERS AND DEVELOPERS PVT LTD,Villas (Plots & Buildings),2010-06-10,2026-06-30,K-RERA/PRJ/198/2021,2022-07-18,21,16,4,Inprogress,Kannur,CHIRAKKAL,Kannur,11.88,75.36
ASSET HOMES PRIVATE LIMITED,Residential (Apartment),2025-04-20,2030-06-20,K-RERA/PRJ/ERN/111/2025,2025-09-08,21,13,4,Inprogress,Ernakulam,KIZHAKKAMBALAM,Kunnathunad,10.03,76.45
CONDOR BUILDERS PVT LTD,Residential (Apartment),2017-08-17,2021-12-31,K-RERA/PRJ/076/2020,2021-04-15,20,91,60,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM,8.55,76.88
ASSET HOMES PRIVATE LIMITED,Mixed (Commercial & Residential),2015-08-10,2021-09-30,K-RERA/PRJ/308/2020,2021-06-02,20,62,06,Completed,Thiruvananthapuram,KAZHAKOOTTAM,THIRUVANANTHAPRUAM,8.56,76.87
Nikunjam Constructions Private Limited,Residential (Apartment),2025-04-08,2031-11-15,K-RERA/PRJ/TVM/051/2025,2025-05-07,20,6,4,Inprogress,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM,8.55,76.88
FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2022-01-10,2025-12-31,K-RERA/PRJ/TVM/006/2022,2022-01-10,19,61,62,Completed,Thiruvananthapuram,ULIYAZHATHURA,THIRUVANANTHAPRUAM,8.54,76.9
OCEANUS DWELLINGS PVT LIMITED,Residential (Apartment),2024-04-10,2028-12-31,K-RERA/PRJ/PKD/220/2024,2024-11-02,19,53,1,Inprogress,Palakkad,PALAKKAD-2,Palakkad,10.78,76.65
Sobha Limited,Residential (Apartment),2016-03-15,2028-06-30,K-RERA/PRJ/ERN/076/2023,2023-04-28,19,31,90,Inprogress,Ernakulam,ERNAKULAM,Kanayannur,9.98,76.29
Sobha Limited,Residential (Apartment),2017-03-14,2026-06-30,K-RERA/PRJ/235/2020,2021-09-18,19,21,49,Inprogress,Ernakulam,NADAMA,Kanayannur,9.96,76.36
Sobha Limited,Residential (Apartment),2017-03-16,2029-12-31,K-RERA/PRJ/ERN/040/2024,2024-02-13,19,24,0,Inprogress,Ernakulam,NADAMA,Kanayannur,9.96,76.36
DESAI HOMES,Residential (Apartment),2022-05-02,2026-12-31,K-RERA/PRJ/TVM/088/2022,2022-05-21,18,91,24,Inprogress,Thiruvananthapuram,VEILOOR,THIRUVANANTHAPRUAM,8.65,76.8
DESAI HOMES PROPERTIES PRIVATE LIMITED,Residential (Apartment),2023-08-15,2028-12-31,K-RERA/PRJ/TSR/129/2023,2023-07-27,18,86,9,Inprogress,Thrissur,OLLUR,Thrissur,10.48,76.24
CONDOR BUILDERS PVT LTD,Residential (Apartment),2021-03-01,2026-02-27,K-RERA/PRJ/042/2021,2021-04-30,18,21,29,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM,8.55,76.88
Sobha Limited,Residential (Apartment),2016-03-15,2027-06-30,K-RERA/PRJ/253/2020,2021-09-01,18,11,77,Inprogress,Ernakulam,ERNAKULAM,Kanayannur,9.98,76.29
NANMA PROPERTIES LTD,Residential (Apartment),2025-11-29,2030-11-28,K-RERA/PRJ/ERN/023/2026,2026-02-12,17,81,50,Inprogress,Ernakulam,EDAPPALLY NORTH,Kanayannur,10.03,76.31
Confident Projects Residential,Residential (Apartment),2024-08-17,2029-08-17,K-RERA/PRJ/TSR/134/2024,2024-07-09,17,61,13,Inprogress,Thrissur,EDAKKUNNI,Thrissur,10.53,76.23
PPD VISTAS,Residential (Apartment),2025-09-01,2031-12-31,K-RERA/PRJ/TVM/115/2025,2025-09-08,17,25,8,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM,8.52,76.96
FERN VALLEY PROJECTS PRIVATE LIMITED,Residential (Apartment),2010-01-05,2025-07-31,K-RERA/PRJ/ERN/193/2023,2023-10-31,16,71,10,Inprogress,Ernakulam,MARADU,Kanayannur,9.94,76.32
