Project,Promoter Name,Project Type,Project Start Date,Date of Completion,Certificate No,Certificate Date,Total,Sold,Status,District,Village,Taluk
THE GARDENIA BY FAVOURITE HOMES,FAVOURITE CONSTRUCTIONS PRIVATE LIMITED,Residential (Apartment),2019-12-01,2023-05-29,K-RERA/PRJ/005/2020,2021-03-30,1,1,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
Dasco Royal Valley Phase 1,Mahesh Ayanimoodu Vijayan,Villas (Plots & Buildings),2019-08-25,2022-11-05,K-RERA/PRJ/126/2020,2021-03-24,9,6,Completed,Thiruvananthapuram,VEMBAYAM,Nedumangad
Padmalaya,Promag Realtors & Developers Pvt Ltd,Plots,2019-02-14,2026-08-13,K-RERA/PRJ/132/2020,2021-03-27,,10,Completed,Thiruvananthapuram,NEMOM,THIRUVANANTHAPRUAM
ARTECH METROPOLIS,ARTECH REALTORS PRIVATE LIMITED,Residential (Apartment),2017-10-21,2023-12-30,K-RERA/PRJ/114/2020,2021-04-30,150,132,Completed,Thiruvananthapuram,ULOOR,THIRUVANANTHAPRUAM
SFS WEST HILL,SKYLINE FOUNDATIONS AND STRUCTURES PRIVATE LIMITED,Residential (Apartment),2020-01-01,2024-03-31,K-RERA/PRJ/256/2020,2021-04-26,108,107,Completed,Thiruvananthapuram,KARAKULAM,Nedumangad
Oceanus Moonstone IV,Oceanus Dwellings Pvt Ltd,Residential (Apartment),2015-04-09,2022-12-31,K-RERA/PRJ/238/2020,2021-04-15,48,48,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
VEEGALAND BLISS,VEEGALAND DEVELOPERS PRIVATE LIMITED,Residential (Apartment),2019-12-16,2023-08-28,K-RERA/PRJ/115/2020,2021-04-15,78,73,Completed,Ernakulam,THEKKUMBHAGOM KANAYANNUR,Kanayannur
DH DZIRE MUTTATHIL,DREAMS HABITAT PVT LTD,Residential (Apartment),2015-08-10,2023-02-02,K-RERA/PRJ/125/2021,2021-04-29,9,1,Completed,Ernakulam,ELAMKULAM,Kanayannur
LOTUS NANDANAM,VEDAPURI LOTUS PROPERTIES PVT LTD,Residential (Apartment),2020-12-30,2023-10-31,K-RERA/PRJ/007/2021,2021-04-30,22,22,Completed,Ernakulam,NADAMA,Kanayannur
BUILTECH SUMMIT,BUILTECH SUMMIT,Residential (Apartment),2017-03-03,2021-09-30,K-RERA/PRJ/068/2020,2021-07-27,23,2,Completed,Palakkad,PALAKKAD I,Palakkad
TBPL RIO GRANDE,Thrissur Builders Private Limited,Residential (Apartment),2019-01-15,2023-12-31,K-RERA/PRJ/048/2020,2021-03-27,34,33,Completed,Thrissur,THRISSUR,Thrissur
SILVER CASTLE SPRINGS,Silver Castle Construction Company Pvt Ltd,Residential (Apartment),2017-10-25,2021-06-30,K-RERA/PRJ/079/2020,2022-02-09,30,30,Completed,Thiruvananthapuram,KUDAPPANAKUNNU,THIRUVANANTHAPRUAM
TRITON CRESCENT,CRESCENT BUILDERS,Residential (Apartment),2019-06-01,2023-05-31,K-RERA/PRJ/037/2020,2021-03-27,97,97,Completed,Kozhikode,NELLIKODE,Kozhikode
LANDMARK MAPLE,CALICUT LANDMARK BUILDERS AND DEVELOPERS INDIA PRIVATE LIMITED,Residential (Apartment),2018-04-29,2022-05-31,K-RERA/PRJ/027/2020,2021-08-06,106,106,Completed,Kozhikode,OLAVANNA,Kozhikode
SECURA CENTRE KANNUR,Secura Developers Pvt Ltd,Shops/Office Space (Commercial),2019-05-14,2022-09-30,K-RERA/PRJ/060/2020,2021-03-30,70,61,Completed,Kannur,ELAYAVOOR,Kannur
Confident Greenwich,Confident Projects Residential,Residential (Apartment),2020-12-17,2026-06-16,K-RERA/PRJ/287/2020,2021-05-04,81,69,Inprogress,Kozhikode,NELLIKODE,Kozhikode
Eco One,Level 100 Realty Pvt Ltd,Villas (Plots & Buildings),2021-02-01,2024-07-31,K-RERA/PRJ/ERN/005/2021,2021-04-13,18,7,Inprogress,Ernakulam,AIKARANAD SOUTH,Kunnathunad
VITHAYATHIL AFFINITY AT PUKALAKKATTU,VITHAYATHIL HOMES,Residential (Apartment),2020-12-01,2024-12-30,K-RERA/PRJ/351/2020,2021-07-28,18,16,Completed,Ernakulam,CHERANALLUR,Kanayannur
SKYLINE GRAND TERRACE,M/s Skyline Builders,Residential (Apartment),2018-01-29,2022-01-30,K-RERA/PRJ/176/2020,2021-03-27,19,14,Completed,Kozhikode,KASABA,Kozhikode
SMS Vista,SMS BUILDERS,Residential (Apartment),2019-09-25,2023-02-28,K-RERA/PRJ/153/2020,2021-06-24,12,12,Completed,Ernakulam,EDAPPALLY SOUTH,Kanayannur
TEMPLE TREE,SI Property Kerala Private Limited,Residential (Apartment),2019-06-30,2024-12-31,K-RERA/PRJ/160/2020,2021-03-30,33,30,Completed,Thiruvananthapuram,PEROORKADA,THIRUVANANTHAPRUAM
VICTORIAN SQUARE BY CREATIONS,CREATIONS VILLAS & APARTMENTS PRIVATE LIMITED,Residential (Apartment),2019-12-31,2025-06-30,K-RERA/PRJ/038/2021,2021-04-22,19,11,Inprogress,Thiruvananthapuram,KOWDIAR,THIRUVANANTHAPRUAM
VARMA PRIME,VARMA HOMES PRIVATE LIMITED,Residential (Apartment),2021-04-01,2025-10-01,K-RERA/PRJ/364/2020,2021-05-27,26,19,Completed,Ernakulam,NADAMA,Kanayannur
Classic Avenir Suites,Classic Constructions,Residential (Apartment),2019-06-30,2022-06-30,K-RERA/PRJ/274/2020,2021-04-30,34,34,Completed,Ernakulam,THRIKKAKARA NORTH,Kanayannur
OLIVE OURANIA,OLIVE BUILDERS,Residential (Apartment),2017-04-15,2024-09-30,K-RERA/PRJ/325/2020,2021-06-30,50,36,Completed,Ernakulam,EDAPPALLY NORTH,Kanayannur
AC SAMRUDHI,AC CITY PROJECTS PVT LTD,Residential (Apartment),2019-10-01,2022-08-10,K-RERA/PRJ/092/2020,2021-04-15,20,18,Completed,Ernakulam,POONITHURA,Kanayannur
Sobha Atlantis Phase 1 block 3 and 4,Sobha Limited,Residential (Apartment),2017-03-14,2026-06-30,K-RERA/PRJ/235/2020,2021-09-18,192,149,Inprogress,Ernakulam,NADAMA,Kanayannur
FORUS AZALEA,FORUS INITIATIVES,Residential (Apartment),2019-01-01,2023-05-01,K-RERA/PRJ/010/2020,2021-05-24,16,14,Completed,Thrissur,CHEMBUKAVU,Thrissur
Jayaraj Divya,Jayaraj Properties,Residential (Apartment),2019-12-01,2023-06-30,K-RERA/PRJ/078/2020,2021-05-26,16,16,Completed,Palakkad,PALAKKAD-2,Palakkad
Oceanus Sunshine Phase I,Oceanus Dwellings Pvt Ltd,Residential (Apartment),2014-12-08,2020-10-29,K-RERA/PRJ/090/2021,2021-03-30,68,68,Completed,Thiruvananthapuram,ATTIPRA,THIRUVANANTHAPRUAM
M P S ABSOLUT,M P S India Holdings Pvt Ltd,Residential (Apartment),2017-04-01,2022-06-30,K-RERA/PRJ/358/2020,2021-08-16,43,43,Inprogress,Ernakulam,MARADU,Kanayannur
PVS CLASSIC,PVS Builders & Developers,Residential (Apartment),2018-10-19,2024-02-19,K-RERA/PRJ/087/2020,2021-09-14,75,65,Completed,Kannur,EDAKKAD,Kannur
FORUS GAZANIA,FORUS INITIATIVES,Residential (Apartment),2021-06-01,2027-12-31,K-RERA/PRJ/TSR/020/2021,2021-06-11,44,40,Completed,Thrissur,THRISSUR,Thrissur
NANMA EASTFORT,NANMA PROPERTIES LTD,Residential (Apartment),2021-02-22,2025-12-10,K-RERA/PRJ/ERN/004/2021,2021-04-12,148,145,Completed,Ernakulam,MARADY,Muvattupuzha
NATIONAL SIGNATURE,NATIONAL BUILDERS,Residential (Apartment),2016-12-14,2025-06-30,K-RERA/PRJ/121/2020,2021-04-22,74,68,Completed,Ernakulam,CHERANALLUR,Kanayannur
BREEZY MEADOWS,INDUS GRATIA CREATIVE HOMES PVT LTD,Residential (Apartment),2019-12-15,2024-12-30,K-RERA/PRJ/080/2021,2021-08-27,16,15,Inprogress,Ernakulam,NADAMA,Kanayannur
"Muthoot Homez, Akkulam",MPG Hotels & Infrastructure Ventures Private Limited,Mixed (Commercial & Residential),2018-04-14,2024-06-30,K-RERA/PRJ/90/2020,2021-04-17,211,110,Completed,Thiruvananthapuram,KADAKAMPALLY,THIRUVANANTHAPRUAM
